## Thu Oct 20 12:33:49 2022
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_clhlot17 --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_clhlot17 --override -m diamond --dmnd_ignore_warnings -i /emapper_web_jobs/emapper_jobs/user_data/MM_clhlot17/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
33931E_Pfluorescens55_02026	321846.PS417_08925	8.31e-170	474.0	COG3821@1|root,COG3821@2|Bacteria,1RDXR@1224|Proteobacteria,1S43M@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Membrane	-	-	-	-	-	-	-	-	-	-	-	-	DUF599
33931E_Pfluorescens55_02027	216595.PFLU_1827	4.73e-23	90.9	2DJG2@1|root,30606@2|Bacteria,1QRHU@1224|Proteobacteria,1RUI6@1236|Gammaproteobacteria,1YR10@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
33931E_Pfluorescens55_02028	321846.PS417_08935	6.6e-115	328.0	COG2050@1|root,COG2050@2|Bacteria,1RHK6@1224|Proteobacteria,1SE50@1236|Gammaproteobacteria	1236|Gammaproteobacteria	Q	protein possibly involved in aromatic compounds catabolism	-	-	-	-	-	-	-	-	-	-	-	-	4HBT
33931E_Pfluorescens55_02029	321846.PS417_08940	3.6e-106	306.0	COG2050@1|root,COG2050@2|Bacteria,1RITB@1224|Proteobacteria,1S63Z@1236|Gammaproteobacteria	1236|Gammaproteobacteria	Q	protein possibly involved in aromatic compounds catabolism	-	-	-	-	-	-	-	-	-	-	-	-	4HBT
htpG	321846.PS417_08945	0.0	1237.0	COG0326@1|root,COG0326@2|Bacteria,1MUUE@1224|Proteobacteria,1RNWD@1236|Gammaproteobacteria	1236|Gammaproteobacteria	O	Molecular chaperone. Has ATPase activity	htpG	GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006457,GO:0006950,GO:0006974,GO:0008150,GO:0009266,GO:0009408,GO:0009628,GO:0009987,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0033554,GO:0042623,GO:0042802,GO:0044424,GO:0044444,GO:0044464,GO:0050896,GO:0051716	-	ko:K04079	ko04141,ko04151,ko04217,ko04612,ko04621,ko04626,ko04657,ko04659,ko04914,ko04915,ko05200,ko05215,ko05418,map04141,map04151,map04217,map04612,map04621,map04626,map04657,map04659,map04914,map04915,map05200,map05215,map05418	-	-	-	ko00000,ko00001,ko01009,ko03029,ko03051,ko03110,ko04131,ko04147	-	-	-	HATPase_c,HATPase_c_3,HSP90
33931E_Pfluorescens55_02031	321846.PS417_08950	8.71e-175	487.0	COG0412@1|root,COG0412@2|Bacteria,1RFHR@1224|Proteobacteria,1T08K@1236|Gammaproteobacteria	1236|Gammaproteobacteria	Q	COG0412 Dienelactone hydrolase and related enzymes	-	-	-	-	-	-	-	-	-	-	-	-	DLH
33931E_Pfluorescens55_02032	321846.PS417_08955	4.95e-213	587.0	COG1741@1|root,COG1741@2|Bacteria,1MWIP@1224|Proteobacteria,1RS05@1236|Gammaproteobacteria	1236|Gammaproteobacteria	O	Belongs to the pirin family	-	-	-	ko:K06911	-	-	-	-	ko00000	-	-	-	Pirin,Pirin_C
33931E_Pfluorescens55_02033	321846.PS417_08960	5.7e-95	276.0	COG1765@1|root,COG1765@2|Bacteria,1N2BT@1224|Proteobacteria,1S90N@1236|Gammaproteobacteria	1236|Gammaproteobacteria	O	Redox protein regulator of disulfide bond formation	-	-	-	ko:K07397	-	-	-	-	ko00000	-	-	-	OsmC
33931E_Pfluorescens55_02034	321846.PS417_08965	3.53e-255	698.0	COG2159@1|root,COG2159@2|Bacteria,1R8EW@1224|Proteobacteria,1RS03@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Amidohydrolase	-	-	-	-	-	-	-	-	-	-	-	-	Amidohydro_2
33931E_Pfluorescens55_02035	321846.PS417_08970	4.72e-309	852.0	COG0840@1|root,COG0840@2|Bacteria,1MU9B@1224|Proteobacteria,1RMH0@1236|Gammaproteobacteria	1236|Gammaproteobacteria	NT	chemotaxis, protein	VPA0491	-	-	ko:K03406	ko02020,ko02030,map02020,map02030	-	-	-	ko00000,ko00001,ko02035	-	-	-	4HB_MCP_1,HAMP,MCPsignal
fabB	321846.PS417_08975	9.66e-291	794.0	COG0304@1|root,COG0304@2|Bacteria,1MU1X@1224|Proteobacteria,1RMDE@1236|Gammaproteobacteria	1236|Gammaproteobacteria	I	Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP	fabB	GO:0003674,GO:0003824,GO:0004312,GO:0004315,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006629,GO:0006631,GO:0006633,GO:0008150,GO:0008152,GO:0008610,GO:0009058,GO:0009987,GO:0016053,GO:0016740,GO:0016746,GO:0016747,GO:0019752,GO:0032787,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0071704,GO:0072330,GO:1901576	2.3.1.41	ko:K00647	ko00061,ko00780,ko01100,ko01212,map00061,map00780,map01100,map01212	M00083,M00572	R04355,R04726,R04952,R04957,R04960,R04963,R04968,R07762,R10115,R10119	RC00039,RC02728,RC02729,RC02888	ko00000,ko00001,ko00002,ko01000,ko01004	-	-	iAF1260.b2323,iAPECO1_1312.APECO1_4241,iB21_1397.B21_02208,iBWG_1329.BWG_2097,iE2348C_1286.E2348C_2463,iEC042_1314.EC042_2564,iEC55989_1330.EC55989_2567,iECABU_c1320.ECABU_c26560,iECBD_1354.ECBD_1336,iECB_1328.ECB_02248,iECDH10B_1368.ECDH10B_2485,iECDH1ME8569_1439.ECDH1ME8569_2261,iECD_1391.ECD_02248,iECED1_1282.ECED1_2787,iECIAI1_1343.ECIAI1_2400,iECIAI39_1322.ECIAI39_2472,iECNA114_1301.ECNA114_2414,iECO103_1326.ECO103_2787,iECO111_1330.ECO111_3071,iECO26_1355.ECO26_3311,iECOK1_1307.ECOK1_2605,iECP_1309.ECP_2362,iECS88_1305.ECS88_2471,iECSE_1348.ECSE_2632,iECSF_1327.ECSF_2200,iECUMN_1333.ECUMN_2663,iECW_1372.ECW_m2512,iEKO11_1354.EKO11_1442,iETEC_1333.ETEC_2459,iEcDH1_1363.EcDH1_1333,iEcHS_1320.EcHS_A2474,iEcSMS35_1347.EcSMS35_2480,iEcolC_1368.EcolC_1329,iJN746.PP_4175,iJO1366.b2323,iJR904.b2323,iLF82_1304.LF82_0605,iNRG857_1313.NRG857_11765,iSBO_1134.SBO_2360,iUMN146_1321.UM146_05195,iUTI89_1310.UTI89_C2608,iWFL_1372.ECW_m2512,iY75_1357.Y75_RS12180,ic_1306.c2869	Ketoacyl-synt_C,ketoacyl-synt
fabA	1042209.HK44_009135	2.63e-125	356.0	COG0764@1|root,COG0764@2|Bacteria,1MWV8@1224|Proteobacteria,1RP6W@1236|Gammaproteobacteria,1YMGT@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	I	Necessary for the introduction of cis unsaturation into fatty acids. Catalyzes the dehydration of (3R)-3-hydroxydecanoyl- ACP to E-(2)-decenoyl-ACP and then its isomerization to Z-(3)- decenoyl-ACP. Can catalyze the dehydratase reaction for beta- hydroxyacyl-ACPs with saturated chain lengths up to 16 0, being most active on intermediate chain length	fabA	-	4.2.1.59,5.3.3.14	ko:K01716	ko00061,ko01100,ko01212,map00061,map01100,map01212	M00083	R04428,R04535,R04537,R04544,R04568,R04954,R04965,R07639	RC00831,RC01078,RC01095	ko00000,ko00001,ko00002,ko01000,ko01004	-	-	-	FabA
rcsC_5	321846.PS417_08985	0.0	1184.0	COG0642@1|root,COG2770@1|root,COG2205@2|Bacteria,COG2770@2|Bacteria,1NRP8@1224|Proteobacteria	1224|Proteobacteria	T	Histidine kinase	-	-	2.7.13.3	ko:K20974	ko02020,ko02025,map02020,map02025	M00820	-	-	ko00000,ko00001,ko00002,ko01000,ko01001,ko02022	-	-	-	DUF2222,HAMP,HATPase_c,HisKA,Response_reg
33931E_Pfluorescens55_02039	321846.PS417_08990	8.95e-222	611.0	COG2984@1|root,COG2984@2|Bacteria,1NACH@1224|Proteobacteria,1SEI1@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	transport system periplasmic component	-	-	-	-	-	-	-	-	-	-	-	-	ABC_sub_bind
btuB_3	216595.PFLU_1839	0.0	1379.0	COG4206@1|root,COG4206@2|Bacteria,1QTTF@1224|Proteobacteria,1T1GM@1236|Gammaproteobacteria,1YMMJ@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	H	receptor	-	-	-	ko:K02014	-	-	-	-	ko00000,ko02000	1.B.14	-	-	Plug,TonB_dep_Rec
gpsA	321846.PS417_09000	7.81e-239	657.0	COG0240@1|root,COG0240@2|Bacteria,1MUU3@1224|Proteobacteria,1RPQ7@1236|Gammaproteobacteria	1236|Gammaproteobacteria	I	Glycerol-3-phosphate dehydrogenase	gpsA	GO:0003674,GO:0003824,GO:0004367,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006072,GO:0006629,GO:0006644,GO:0006650,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008610,GO:0008654,GO:0009058,GO:0009987,GO:0016491,GO:0016614,GO:0016616,GO:0019637,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044424,GO:0044444,GO:0044464,GO:0045017,GO:0046474,GO:0046486,GO:0047952,GO:0052646,GO:0055114,GO:0071704,GO:0090407,GO:1901135,GO:1901576	1.1.1.94	ko:K00057	ko00564,ko01110,map00564,map01110	-	R00842,R00844	RC00029	ko00000,ko00001,ko01000	-	-	iJN746.PP_4169,iSFV_1184.SFV_3923	NAD_Gly3P_dh_C,NAD_Gly3P_dh_N
33931E_Pfluorescens55_02042	321846.PS417_09005	7.23e-78	231.0	2E80T@1|root,332F0@2|Bacteria,1N7RY@1224|Proteobacteria,1SCE8@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Domain of unknown function (DUF4389)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4389
sixA	321846.PS417_09010	2.75e-105	303.0	COG2062@1|root,COG2062@2|Bacteria,1NAAE@1224|Proteobacteria,1SD0B@1236|Gammaproteobacteria	1236|Gammaproteobacteria	T	phosphohistidine phosphatase	sixA	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006464,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0019538,GO:0036211,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044464,GO:0071704,GO:1901564	-	ko:K08296	-	-	-	-	ko00000,ko01000	-	-	-	His_Phos_1
33931E_Pfluorescens55_02044	321846.PS417_09015	0.0	1122.0	COG1022@1|root,COG1022@2|Bacteria,1MU4D@1224|Proteobacteria,1RPNE@1236|Gammaproteobacteria	1236|Gammaproteobacteria	I	COG1022 Long-chain acyl-CoA synthetases (AMP-forming)	-	-	-	-	-	-	-	-	-	-	-	-	AMP-binding
33931E_Pfluorescens55_02045	321846.PS417_09020	1.6e-103	299.0	COG2050@1|root,COG2050@2|Bacteria,1RGVP@1224|Proteobacteria,1S5WY@1236|Gammaproteobacteria	1236|Gammaproteobacteria	Q	Catalyzes the hydrolysis of 1,4-dihydroxy-2-naphthoyl- CoA (DHNA-CoA) to 1,4-dihydroxy-2-naphthoate (DHNA)	menI	GO:0003674,GO:0003824,GO:0006732,GO:0008150,GO:0008152,GO:0009058,GO:0009108,GO:0009233,GO:0009234,GO:0009987,GO:0016289,GO:0016787,GO:0016788,GO:0016790,GO:0042180,GO:0042181,GO:0044237,GO:0044249,GO:0044281,GO:0044283,GO:0051186,GO:0051188,GO:0061522,GO:0071704,GO:1901576,GO:1901661,GO:1901663	3.1.2.28	ko:K19222	ko00130,ko01100,ko01110,map00130,map01100,map01110	M00116	R07262	RC00004,RC00174	ko00000,ko00001,ko00002,ko01000	-	-	-	4HBT
33931E_Pfluorescens55_02046	321846.PS417_09025	5.31e-202	558.0	COG2267@1|root,COG2267@2|Bacteria,1RFE1@1224|Proteobacteria,1S4YZ@1236|Gammaproteobacteria	1236|Gammaproteobacteria	I	Alpha beta hydrolase	-	-	-	-	-	-	-	-	-	-	-	-	Abhydrolase_6
menH	321846.PS417_09030	5.31e-206	569.0	COG0596@1|root,COG0596@2|Bacteria,1QTWQ@1224|Proteobacteria,1T1JQ@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Alpha beta hydrolase	-	-	-	-	-	-	-	-	-	-	-	-	Abhydrolase_1,Abhydrolase_6
33931E_Pfluorescens55_02048	321846.PS417_09035	5.69e-195	540.0	COG2885@1|root,COG2885@2|Bacteria,1NF3D@1224|Proteobacteria,1S26X@1236|Gammaproteobacteria	1236|Gammaproteobacteria	M	Domain of unknown function (DUF4892)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4892
ydiK_1	321846.PS417_09040	5.18e-250	686.0	COG0628@1|root,COG0628@2|Bacteria,1R5W4@1224|Proteobacteria,1SZYZ@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	AI-2E family transporter	-	-	-	-	-	-	-	-	-	-	-	-	AI-2E_transport
sasA_7	321846.PS417_09045	4.4e-246	676.0	COG0642@1|root,COG2205@2|Bacteria,1MUAK@1224|Proteobacteria,1RPP2@1236|Gammaproteobacteria	1236|Gammaproteobacteria	T	Histidine kinase	-	-	2.7.13.3	ko:K02484	-	-	-	-	ko00000,ko01000,ko01001,ko02022	-	-	-	HAMP,HATPase_c,HisKA
ompR_3	1470593.BW43_03998	4.78e-182	508.0	COG0745@1|root,COG0745@2|Bacteria,1MY3D@1224|Proteobacteria,1RPKN@1236|Gammaproteobacteria	1236|Gammaproteobacteria	K	Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain	ompR	-	-	ko:K02483	-	-	-	-	ko00000,ko02022	-	-	-	Response_reg,Trans_reg_C
pyrF	321846.PS417_09055	1.01e-159	448.0	COG0284@1|root,COG0284@2|Bacteria,1MW2C@1224|Proteobacteria,1RNJR@1236|Gammaproteobacteria	1236|Gammaproteobacteria	F	Catalyzes the decarboxylation of orotidine 5'- monophosphate (OMP) to uridine 5'-monophosphate (UMP)	pyrF	GO:0003674,GO:0003824,GO:0004590,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006206,GO:0006207,GO:0006220,GO:0006221,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009112,GO:0009117,GO:0009165,GO:0009218,GO:0009220,GO:0009259,GO:0009260,GO:0009987,GO:0015949,GO:0016829,GO:0016830,GO:0016831,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0019856,GO:0034641,GO:0034654,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046112,GO:0046390,GO:0046483,GO:0055086,GO:0071704,GO:0072527,GO:0072528,GO:0090407,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576	4.1.1.23	ko:K01591	ko00240,ko01100,map00240,map01100	M00051	R00965	RC00409	ko00000,ko00001,ko00002,ko01000	-	-	iECO103_1326.ECO103_1444,iECSF_1327.ECSF_1264,iSFV_1184.SFV_1294,iSF_1195.SF1285,iSFxv_1172.SFxv_1457,iS_1188.S1368,ic_1306.c1750	OMPdecase
yfmJ	321846.PS417_09060	5.11e-241	662.0	COG2130@1|root,COG2130@2|Bacteria,1MUC2@1224|Proteobacteria,1RNGM@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	nadp-dependent	yfmJ	-	-	ko:K07119	-	-	-	-	ko00000	-	-	-	ADH_N_2,ADH_zinc_N
linC	321846.PS417_09065	1.6e-171	479.0	COG1028@1|root,COG1028@2|Bacteria,1R413@1224|Proteobacteria,1S3TR@1236|Gammaproteobacteria	1236|Gammaproteobacteria	IQ	COG1028 Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)	-	-	-	-	-	-	-	-	-	-	-	-	adh_short_C2
norG_2	321846.PS417_09070	0.0	931.0	COG1167@1|root,COG1167@2|Bacteria,1MV6F@1224|Proteobacteria,1RMQ0@1236|Gammaproteobacteria	1236|Gammaproteobacteria	K	Transcriptional regulators containing a DNA-binding HTH domain and an aminotransferase domain (MocR family) and their eukaryotic orthologs	-	-	-	-	-	-	-	-	-	-	-	-	Aminotran_1_2,GntR
33931E_Pfluorescens55_02056	321846.PS417_09075	0.0	1115.0	COG0840@1|root,COG0840@2|Bacteria,1MU9B@1224|Proteobacteria,1RMH0@1236|Gammaproteobacteria	1236|Gammaproteobacteria	NT	chemotaxis, protein	VPA0491	-	-	ko:K03406	ko02020,ko02030,map02020,map02030	-	-	-	ko00000,ko00001,ko02035	-	-	-	4HB_MCP_1,HAMP,HBM,MCPsignal
catD_3	321846.PS417_09080	1.4e-194	539.0	COG0596@1|root,COG0596@2|Bacteria,1RAET@1224|Proteobacteria,1S3KA@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	2-succinyl-6-hydroxy-2, 4-cyclohexadiene-1-carboxylate synthase	-	-	-	-	-	-	-	-	-	-	-	-	Abhydrolase_1
33931E_Pfluorescens55_02058	321846.PS417_09085	8.25e-155	437.0	2BJI2@1|root,32DV0@2|Bacteria,1RK8A@1224|Proteobacteria,1S6ZR@1236|Gammaproteobacteria	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
gabR_2	321846.PS417_09120	0.0	965.0	COG1167@1|root,COG1167@2|Bacteria,1MVGT@1224|Proteobacteria,1RRB3@1236|Gammaproteobacteria	1236|Gammaproteobacteria	K	helix_turn_helix gluconate operon transcriptional repressor	-	-	-	ko:K00375	-	-	-	-	ko00000,ko03000	-	-	-	Aminotran_1_2,GntR
nqrF	321846.PS417_09125	0.0	1141.0	COG0024@1|root,COG0633@1|root,COG1018@1|root,COG0024@2|Bacteria,COG0633@2|Bacteria,COG1018@2|Bacteria,1NNK2@1224|Proteobacteria,1SYPU@1236|Gammaproteobacteria	1236|Gammaproteobacteria	C	Metallopeptidase family M24	-	-	1.17.1.1	ko:K00523	ko00520,map00520	-	R03391,R03392	RC00230	ko00000,ko00001,ko01000	-	-	-	FAD_binding_6,Fer2,NAD_binding_1,Peptidase_M24
dapE_2	321846.PS417_09130	0.0	1137.0	COG0624@1|root,COG0624@2|Bacteria,1R44A@1224|Proteobacteria,1RZ9X@1236|Gammaproteobacteria	1236|Gammaproteobacteria	E	Dipeptidase	pepV	-	-	ko:K01270	ko00480,ko01100,map00480,map01100	-	R00899,R04951	RC00096,RC00141	ko00000,ko00001,ko01000,ko01002	-	-	-	M20_dimer,Peptidase_M20
33931E_Pfluorescens55_02066	321846.PS417_09135	9.72e-295	804.0	COG1502@1|root,COG1502@2|Bacteria,1R9I4@1224|Proteobacteria,1RZ86@1236|Gammaproteobacteria	1236|Gammaproteobacteria	I	Phospholipase	-	-	-	-	-	-	-	-	-	-	-	-	PLDc_2
33931E_Pfluorescens55_02067	321846.PS417_09140	3.26e-143	405.0	COG0811@1|root,COG0811@2|Bacteria,1MX5J@1224|Proteobacteria,1RMSA@1236|Gammaproteobacteria	1236|Gammaproteobacteria	U	MotA TolQ ExbB proton channel	VP0166	-	-	ko:K03561	-	-	-	-	ko00000,ko02000	1.A.30.2.1	-	-	MotA_ExbB
33931E_Pfluorescens55_02068	321846.PS417_09145	0.0	1540.0	COG4772@1|root,COG4772@2|Bacteria,1MVMV@1224|Proteobacteria,1T29J@1236|Gammaproteobacteria	1236|Gammaproteobacteria	P	receptor	-	-	-	ko:K02014	-	-	-	-	ko00000,ko02000	1.B.14	-	-	Plug,TonB_dep_Rec
33931E_Pfluorescens55_02069	321846.PS417_09150	1.07e-113	332.0	COG0810@1|root,COG0810@2|Bacteria,1RAD8@1224|Proteobacteria,1S2A8@1236|Gammaproteobacteria	1236|Gammaproteobacteria	M	Energy transducer TonB	-	-	-	ko:K03832	-	-	-	-	ko00000,ko02000	2.C.1.1	-	-	TonB_C,TonB_N
exbD_2	1117958.PE143B_0127600	2.25e-86	254.0	COG0848@1|root,COG0848@2|Bacteria,1RJZC@1224|Proteobacteria,1S4SP@1236|Gammaproteobacteria	1236|Gammaproteobacteria	U	transport protein	-	-	-	ko:K03559	-	-	-	-	ko00000,ko02000	1.A.30.2.1	-	-	ExbD
33931E_Pfluorescens55_02071	321846.PS417_09160	3.39e-132	374.0	COG1670@1|root,COG1670@2|Bacteria	2|Bacteria	J	COG1670 acetyltransferases, including N-acetylases of ribosomal proteins	rimL	-	2.3.1.128	ko:K03790	-	-	-	-	ko00000,ko01000,ko03009	-	-	-	Acetyltransf_3
phoD_2	321846.PS417_09165	0.0	1071.0	COG3540@1|root,COG3540@2|Bacteria,1MWAF@1224|Proteobacteria,1SKR5@1236|Gammaproteobacteria	1236|Gammaproteobacteria	P	Alkaline phosphatase	phoD	-	3.1.3.1	ko:K01113	ko00790,ko01100,ko02020,map00790,map01100,map02020	M00126	R04620	RC00017	ko00000,ko00001,ko00002,ko01000	-	-	-	PhoD,PhoD_N
33931E_Pfluorescens55_02073	321846.PS417_09170	5.52e-152	426.0	COG2872@1|root,COG2872@2|Bacteria,1RFHW@1224|Proteobacteria,1S1N3@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Alanyl-tRNA synthetase	-	-	-	-	-	-	-	-	-	-	-	-	tRNA-synt_2c,tRNA_SAD
dmlR_8	321846.PS417_09175	7.42e-228	627.0	COG0583@1|root,COG0583@2|Bacteria,1N4BZ@1224|Proteobacteria,1RRCD@1236|Gammaproteobacteria	1236|Gammaproteobacteria	K	transcriptional regulator	-	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
33931E_Pfluorescens55_02075	216595.PFLU_1864	1.31e-94	275.0	2E278@1|root,32XDG@2|Bacteria,1NDYE@1224|Proteobacteria,1SDS7@1236|Gammaproteobacteria,1YQ53@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	S	Dehydrogenase	-	-	-	-	-	-	-	-	-	-	-	-	-
fadE_1	321846.PS417_09185	0.0	1626.0	COG1960@1|root,COG1960@2|Bacteria,1MUDR@1224|Proteobacteria,1RPM5@1236|Gammaproteobacteria	1236|Gammaproteobacteria	I	acyl-CoA dehydrogenase	fadE	-	-	ko:K06445	ko00071,ko01100,ko01212,map00071,map01100,map01212	M00087	R01175,R01279,R03777,R03857,R03990,R04751,R04754	RC00052,RC00076	ko00000,ko00001,ko00002,ko01000	-	-	-	Acyl-CoA_dh_1,Acyl-CoA_dh_M,Acyl-CoA_dh_N,DUF1974
33931E_Pfluorescens55_02077	321846.PS417_09190	6.68e-163	455.0	COG1305@1|root,COG1305@2|Bacteria,1R9XR@1224|Proteobacteria,1S4S3@1236|Gammaproteobacteria	1236|Gammaproteobacteria	E	Cysteine	-	-	-	-	-	-	-	-	-	-	-	-	Transglut_core
gstB_1	321846.PS417_09195	3.34e-156	437.0	COG0625@1|root,COG0625@2|Bacteria,1RA4M@1224|Proteobacteria,1S2K3@1236|Gammaproteobacteria	1236|Gammaproteobacteria	O	Glutathione S-Transferase	yliJ	GO:0003674,GO:0003824,GO:0004364,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0008150,GO:0008152,GO:0016491,GO:0016740,GO:0016765,GO:0030611,GO:0042802,GO:0044424,GO:0044444,GO:0044464,GO:0055114	2.5.1.18	ko:K00799	ko00480,ko00980,ko00982,ko00983,ko01524,ko05200,ko05204,ko05225,ko05418,map00480,map00980,map00982,map00983,map01524,map05200,map05204,map05225,map05418	-	R03522,R07002,R07003,R07004,R07023,R07024,R07025,R07026,R07069,R07070,R07083,R07084,R07091,R07092,R07093,R07094,R07100,R07113,R07116,R08280,R09409,R11905	RC00004,RC00069,RC00840,RC00948,RC01704,RC01705,RC01706,RC01758,RC01759,RC01765,RC01767,RC01769,RC02243,RC02527,RC02939,RC02940,RC02942,RC02943,RC02944	ko00000,ko00001,ko01000,ko02000	1.A.12.2.2,1.A.12.3.2	-	-	GST_C,GST_C_2,GST_N,GST_N_3
yadG	321846.PS417_09200	7.3e-217	599.0	COG1131@1|root,COG1131@2|Bacteria,1MUW7@1224|Proteobacteria,1RMC5@1236|Gammaproteobacteria	1236|Gammaproteobacteria	V	(ABC) transporter	yadG	GO:0005575,GO:0005623,GO:0005886,GO:0008150,GO:0009314,GO:0009628,GO:0010165,GO:0010212,GO:0016020,GO:0044464,GO:0050896,GO:0071944	-	ko:K01990	-	M00254	-	-	ko00000,ko00002,ko02000	3.A.1	-	-	ABC_tran
yadH	321846.PS417_09205	6.8e-176	491.0	COG0842@1|root,COG0842@2|Bacteria,1MUH1@1224|Proteobacteria,1RP0Z@1236|Gammaproteobacteria	1236|Gammaproteobacteria	V	Transport Permease Protein	yadH	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	-	ko:K01992	-	M00254	-	-	ko00000,ko00002,ko02000	3.A.1	-	-	ABC2_membrane
33931E_Pfluorescens55_02081	321846.PS417_09210	1.14e-123	352.0	COG1309@1|root,COG1309@2|Bacteria,1RIQH@1224|Proteobacteria,1S6HM@1236|Gammaproteobacteria	1236|Gammaproteobacteria	K	Transcriptional regulator	-	-	-	-	-	-	-	-	-	-	-	-	TetR_C_11,TetR_N
33931E_Pfluorescens55_02082	321846.PS417_09215	2.01e-267	734.0	COG0477@1|root,COG2814@2|Bacteria,1MVTM@1224|Proteobacteria,1S0W5@1236|Gammaproteobacteria	1236|Gammaproteobacteria	EGP	Major Facilitator	-	-	-	-	-	-	-	-	-	-	-	-	MFS_1
33931E_Pfluorescens55_02083	321846.PS417_09220	1.87e-72	217.0	COG0662@1|root,COG0662@2|Bacteria,1N0JT@1224|Proteobacteria,1S6JD@1236|Gammaproteobacteria	1236|Gammaproteobacteria	G	Cupin domain	-	-	-	-	-	-	-	-	-	-	-	-	3-HAO,Cupin_2
33931E_Pfluorescens55_02084	321846.PS417_09225	1.54e-268	736.0	COG1275@1|root,COG1275@2|Bacteria,1MXP2@1224|Proteobacteria,1S15P@1236|Gammaproteobacteria	1236|Gammaproteobacteria	P	C4-dicarboxylate transporter malic acid transport protein	-	-	-	-	-	-	-	-	-	-	-	-	SLAC1
lplT	321846.PS417_09230	0.0	1216.0	COG0204@1|root,COG0204@2|Bacteria,1MWDY@1224|Proteobacteria,1RRXF@1236|Gammaproteobacteria	1236|Gammaproteobacteria	I	Plays a role in lysophospholipid acylation. Transfers fatty acids to the 1-position via an enzyme-bound acyl-ACP intermediate in the presence of ATP and magnesium. Its physiological function is to regenerate phosphatidylethanolamine from 2-acyl-glycero-3-phosphoethanolamine (2-acyl-GPE) formed by transacylation reactions or degradation by phospholipase A1	aas	-	-	-	-	-	-	-	-	-	-	-	Acyltransferase,MFS_1
